date	jour	mois	année	Pas-de-Calais.(62)	Gironde.(33)
41640	1	1	2014	7.425	10.540625
41641	2	1	2014	9.1875	11.703125
41642	3	1	2014	9.43333333333333	11.675
41643	4	1	2014	8.25	10.1375
41644	5	1	2014	5.3875	8.79375
41645	6	1	2014	11.58125	12.440625
41646	7	1	2014	10.45	13.553125
41647	8	1	2014	9.25625	12.503125
41648	9	1	2014	9.6875	10.396875
41649	10	1	2014	5.43125	8.403125
41650	11	1	2014	5.2625	9.884375
41651	12	1	2014	1.5875	9.490625
41652	13	1	2014	7.36875	9.61875
41653	14	1	2014	4.75625	8.059375
41654	15	1	2014	5.85	8.978125
41655	16	1	2014	8.59375	10.284375
41656	17	1	2014	7.575	7.959375
41657	18	1	2014	6.46875	7.709375
41658	19	1	2014	6.64375	7.49375
41659	20	1	2014	5.09375	6.634375
41660	21	1	2014	3.8875	5.840625
41661	22	1	2014	3.4125	7.91875
41662	23	1	2014	5.80625	8.3
41663	24	1	2014	3.6375	11.065625
41664	25	1	2014	5.11875	11.825
41665	26	1	2014	5.3	11.5375
41666	27	1	2014	3.78125	6.90625
41667	28	1	2014	4.50625	6.3125
41668	29	1	2014	3.79375	7.178125
41669	30	1	2014	4.44375	6.35
41670	31	1	2014	4.43125	7.078125
41671	1	2	2014	6.8375	7.95625
41672	2	2	2014	5.23333333333333	6.546875
41673	3	2	2014	3.94666666666667	5.16363636363636
41674	4	2	2014	6.05	7.9125
41675	5	2	2014	7.29285714285714	8.76875
41676	6	2	2014	6.89375	11.2875
41677	7	2	2014	8.26875	10.65
41678	8	2	2014	7.89375	8.9375
41679	9	2	2014	5.925	8.346875
41680	10	2	2014	5.5375	8.690625
41681	11	2	2014	5.08	6.68125
41682	12	2	2014	5.45	9.221875
41683	13	2	2014	5.20625	11.071875
41684	14	2	2014	5.64375	12.16875
41685	15	2	2014	9.29375	9.525
41686	16	2	2014	6.625	8.175
41687	17	2	2014	6.625	8.0125
41688	18	2	2014	6.51333333333333	9.34375
41689	19	2	2014	7.1	9.315625
41690	20	2	2014	9.14375	10.925
41691	21	2	2014	6.36875	8.253125
41692	22	2	2014	6.35625	8.30625
41693	23	2	2014	8.03125	8.115625
41694	24	2	2014	8.7125	12.084375
41695	25	2	2014	8.725	9.1
41696	26	2	2014	6.18125	7.696875
41697	27	2	2014	5.61875	8.9625
41698	28	2	2014	4.925	8.78125
41699	1	3	2014	4.81875	7.1125
41700	2	3	2014	5.15	7.4
41701	3	3	2014	6.0625	7.8625
41702	4	3	2014	6.20625	9.15
41703	5	3	2014	6.1375	10.475
41704	6	3	2014	7.325	9.3125
41705	7	3	2014	8.07142857142857	10.3612903225806
41706	8	3	2014	10.5625	11.696875
41707	9	3	2014	12.35625	13.959375
41708	10	3	2014	10.4375	12.803125
41709	11	3	2014	8.775	12.98125
41710	12	3	2014	10.08125	11.44375
41711	13	3	2014	8.40625	13.00625
41712	14	3	2014	6.44375	13.834375
41713	15	3	2014	9.60625	9.15625
41714	16	3	2014	10.65625	10.896875
41715	17	3	2014	9.30625	12.08125
41716	18	3	2014	9.20625	11.115625
41717	19	3	2014	10.39375	13.253125
41718	20	3	2014	11.75625	13.08125
41719	21	3	2014	8.85625	12.60625
41720	22	3	2014	6.7125	10.071875
41721	23	3	2014	5.75	8.215625
41722	24	3	2014	6.15	7.95625
41723	25	3	2014	6.00625	8.546875
41724	26	3	2014	5.55625	8
41725	27	3	2014	5.75625	7.38125
41726	28	3	2014	9.03125	11.415625
41727	29	3	2014	12.2875	13.615625
41728	30	3	2014	13.9928571428571	13.1193548387097
41729	31	3	2014	14.05	15.303125
41730	1	4	2014	14.8	16.353125
41731	2	4	2014	15.5333333333333	15.384375
41732	3	4	2014	15.09375	12.259375
41733	4	4	2014	11.2875	12.709375
41734	5	4	2014	12.25625	13.140625
41735	6	4	2014	14.69375	16.425
41736	7	4	2014	15.4875	17.059375
41737	8	4	2014	9.8375	13.84375
41738	9	4	2014	9.18125	13.65625
41739	10	4	2014	9.5125	15.7625
41740	11	4	2014	9.95	15.89375
41741	12	4	2014	9.7125	16.14375
41742	13	4	2014	10.50625	15.75
41743	14	4	2014	9.56875	16.0875
41744	15	4	2014	7.375	16.478125
41745	16	4	2014	8.91875	16.571875
41746	17	4	2014	10.91875	15.51875
41747	18	4	2014	9.53333333333333	15.0625
41748	19	4	2014	9.7	13.61875
41749	20	4	2014	13.025	12.6625
41750	21	4	2014	12.2	13.53125
41751	22	4	2014	12.60625	14.5375
41752	23	4	2014	12.29375	14.66875
41753	24	4	2014	13.55625	11.58125
41754	25	4	2014	13.06875	12.615625
41755	26	4	2014	9.8375	12.615625
41756	27	4	2014	10.525	12.3875
41757	28	4	2014	11.15	12.44375
41758	29	4	2014	12.0625	13.015625
41759	30	4	2014	11.45	14.18125
41760	1	5	2014	11.775	13.659375
41761	2	5	2014	11.25625	13.078125
41762	3	5	2014	9.03125	12.796875
41763	4	5	2014	9.30625	13.9875
41764	5	5	2014	13.31875	16.775
41765	6	5	2014	13.81875	16.090625
41766	7	5	2014	12.1625	16.471875
41767	8	5	2014	11.875	15.65625
41768	9	5	2014	12.78125	16.025
41769	10	5	2014	11.76875	15.4625
41770	11	5	2014	10.91875	14.609375
41771	12	5	2014	11.35	12.7125
41772	13	5	2014	11.075	12.3375
41773	14	5	2014	11.0125	14.5
41774	15	5	2014	11.30625	16.075
41775	16	5	2014	13.3785714285714	16.1387096774194
41776	17	5	2014	14.68125	18.25625
41777	18	5	2014	16.98125	19.8
41778	19	5	2014	19.11875	19.178125
41779	20	5	2014	16.4	15.025
41780	21	5	2014	14.3875	15.66875
41781	22	5	2014	15.625	15.153125
41782	23	5	2014	14	11.73125
41783	24	5	2014	12.9785714285714	14.6483870967742
41784	25	5	2014	13.925	15.10625
41785	26	5	2014	14.05	14.3870967741935
41786	27	5	2014	13.26875	14.265625
41787	28	5	2014	12.6428571428571	13.3354838709677
41788	29	5	2014	14.53125	15.5
41789	30	5	2014	14.8571428571429	15.558064516129
41790	31	5	2014	13.9125	16.953125
41791	1	6	2014	13.375	17.9625
41792	2	6	2014	14.19375	18.00625
41793	3	6	2014	15.04375	16.84375
41794	4	6	2014	12.96875	15.990625
41795	5	6	2014	13.8428571428571	17.9677419354839
41796	6	6	2014	17.3285714285714	22.7870967741936
41797	7	6	2014	20.08125	22.303125
41798	8	6	2014	19.875	23.771875
41799	9	6	2014	19.8533333333333	22.315625
41800	10	6	2014	17.19375	19.7
41801	11	6	2014	17.5538461538462	21.858064516129
41802	12	6	2014	17.39375	25.55625
41803	13	6	2014	17.61875	24.971875
41804	14	6	2014	15.61875	21.7875
41805	15	6	2014	14.05	20.26875
41806	16	6	2014	13.7285714285714	21.0354838709677
41807	17	6	2014	14.75	19.858064516129
41808	18	6	2014	14.85625	20.165625
41809	19	6	2014	15.20625	22.965625
41810	20	6	2014	15.0142857142857	25.359375
41811	21	6	2014	17.2285714285714	25.0625
41812	22	6	2014	18.0375	24.11875
41813	23	6	2014	18.075	22.096875
41814	24	6	2014	18.24375	22.128125
41815	25	6	2014	16.53125	22.4625
41816	26	6	2014	17.1625	20.265625
41817	27	6	2014	16.79375	20.09375
41818	28	6	2014	15.7125	19.35
41819	29	6	2014	14.4625	17.4875
41820	30	6	2014	14.9625	18.009375
41821	1	7	2014	16	20.3
41822	2	7	2014	16.31875	21.95625
41823	3	7	2014	19.55	23.28125
41824	4	7	2014	19.45625	21.3875
41825	5	7	2014	18	21.7875
41826	6	7	2014	16.65	19.690625
41827	7	7	2014	15.975	18.1375
41828	8	7	2014	15.68125	18.45
41829	9	7	2014	14.64375	18.090625
41830	10	7	2014	15.26875	18.28125
41831	11	7	2014	15.34375	18.825
41832	12	7	2014	16.75625	19.6875
41833	13	7	2014	17.4875	18.41875
41834	14	7	2014	18	19.88125
41835	15	7	2014	17.9625	21.66875
41836	16	7	2014	19.425	25.621875
41837	17	7	2014	22.19375	27.515625
41838	18	7	2014	24.65625	22.521875
41839	19	7	2014	23.1625	22.646875
41840	20	7	2014	18.6083333333333	18.5866666666667
41841	21	7	2014	20.51	20.8103448275862
41842	22	7	2014	19.5857142857143	21.9870967741935
41843	23	7	2014	23.2625	23.95625
41844	24	7	2014	23.5785714285714	25.0612903225806
41845	25	7	2014	20.4428571428571	23.1032258064516
41846	26	7	2014	19.525	23.759375
41847	27	7	2014	20.34375	23.86875
41848	28	7	2014	17.7642857142857	20.1677419354839
41849	29	7	2014	18.6	19.3516129032258
41850	30	7	2014	17.875	22.04375
41851	31	7	2014	18.13125	21.875
41852	1	8	2014	19.9857142857143	20.958064516129
41853	2	8	2014	19.3	21.4935483870968
41854	3	8	2014	17.9214285714286	21.2903225806452
41855	4	8	2014	18.2857142857143	21.2032258064516
41856	5	8	2014	18.15625	21.559375
41857	6	8	2014	17.6375	21.084375
41858	7	8	2014	19.01875	22.46875
41859	8	8	2014	18.90625	22.53125
41860	9	8	2014	18.48125	20.43125
41861	10	8	2014	18.03125	22.325
41862	11	8	2014	16.0071428571429	20.5161290322581
41863	12	8	2014	15.0909090909091	20.07
41864	13	8	2014	16.4571428571429	18.5290322580645
41865	14	8	2014	15.39375	17.65625
41866	15	8	2014	14.4375	17.653125
41867	16	8	2014	15.75	18.29375
41868	17	8	2014	14.5571428571429	18.1225806451613
41869	18	8	2014	15.3142857142857	18.7548387096774
41870	19	8	2014	13.96875	18.196875
41871	20	8	2014	12.74375	17.871875
41872	21	8	2014	13.78125	17.540625
41873	22	8	2014	13.86875	17.6875
41874	23	8	2014	13.94	18.296875
41875	24	8	2014	14.25	18.490625
41876	25	8	2014	13.74375	21.74375
41877	26	8	2014	16.54375	19.33125
41878	27	8	2014	16.2625	21.025
41879	28	8	2014	17.9785714285714	22.1741935483871
41880	29	8	2014	17.8214285714286	20.2354838709677
41881	30	8	2014	16.19375	19.31875
41882	31	8	2014	16.3642857142857	19.1645161290323
41883	1	9	2014	15.83125	20.421875
41884	2	9	2014	17.99375	21.240625
41885	3	9	2014	17.05625	21.221875
41886	4	9	2014	17.38125	20.653125
41887	5	9	2014	18.6714285714286	21.4290322580645
41888	6	9	2014	17.95	21.9625
41889	7	9	2014	17.45	23.975
41890	8	9	2014	16.9625	22.834375
41891	9	9	2014	15.19375	22.76875
41892	10	9	2014	14.2625	23.303125
41893	11	9	2014	15.03125	21.45
41894	12	9	2014	16.03125	20.4375
41895	13	9	2014	16.075	20.63125
41896	14	9	2014	15.51875	20.75625
41897	15	9	2014	17.58125	22.253125
41898	16	9	2014	18.21875	22.559375
41899	17	9	2014	20.04375	23.096875
41900	18	9	2014	20.45625	21.13125
41901	19	9	2014	19.75	23.39375
41902	20	9	2014	18.60625	22.8875
41903	21	9	2014	15.75	21.2838709677419
41904	22	9	2014	12.82	19.178125
41905	23	9	2014	13	15.6483870967742
41906	24	9	2014	12.9875	15.6875
41907	25	9	2014	13.0714285714286	16.5838709677419
41908	26	9	2014	15.0625	16.790625
41909	27	9	2014	17.5	17.71875
41910	28	9	2014	17.225	19.71875
41911	29	9	2014	16.5625	20.409375
41912	30	9	2014	16.15625	19.73125
41913	1	10	2014	15.9625	18.95
41914	2	10	2014	17.20625	19.596875
41915	3	10	2014	17.125	18.93125
41916	4	10	2014	15.3	17.609375
41917	5	10	2014	11.925	13.703125
41918	6	10	2014	11.35625	13.821875
41919	7	10	2014	11.81875	17.971875
41920	8	10	2014	13.775	21.04375
41921	9	10	2014	15.1875	17.58125
41922	10	10	2014	13.7375	16.66875
41923	11	10	2014	13.325	15.6625
41924	12	10	2014	12.30625	18.784375
41925	13	10	2014	14.45625	15.984375
41926	14	10	2014	12.80625	16.709375
41927	15	10	2014	12.1375	16.309375
41928	16	10	2014	15.4	17.70625
41929	17	10	2014	15.2578947368421	19.741935483871
41930	18	10	2014	18.5575	20.859375
41931	19	10	2014	17.5540540540541	20.6375
41932	20	10	2014	14.8638888888889	19.321875
41933	21	10	2014	12.6775	17.775
41934	22	10	2014	9.86785714285714	12.815625
41935	23	10	2014	12.4275862068966	11.36875
41936	24	10	2014	12.3769230769231	13.4875
41937	25	10	2014	13.5888888888889	14.765625
41938	26	10	2014	13.574358974359	15.6090909090909
41939	27	10	2014	13.2435897435897	15.26875
41940	28	10	2014	10.2131578947368	15.953125
41941	29	10	2014	12.22	15.84375
41942	30	10	2014	14.0228571428571	16.328125
41943	31	10	2014	15.3378378378378	17.753125
41944	1	11	2014	15.0405405405405	16.709375
41945	2	11	2014	13.9078947368421	15.4875
41946	3	11	2014	11.8909090909091	14.675
41947	4	11	2014	9.41	11.0966666666667
41948	5	11	2014	7.58055555555555	9.959375
41949	6	11	2014	8.85806451612903	10.2903225806452
41950	7	11	2014	9.77428571428571	12.928125
41951	8	11	2014	10.5514285714286	11.903125
41952	9	11	2014	10.4815789473684	11.23125
41953	10	11	2014	9.02941176470588	10.06875
41954	11	11	2014	9.68125	10.271875
41955	12	11	2014	11.3473684210526	11.0125
41956	13	11	2014	9.21052631578947	13.0214285714286
41957	14	11	2014	9.75263157894737	13.0314814814815
41958	15	11	2014	10.1972972972973	10.9132075471698
41959	16	11	2014	8.61944444444445	10.3725490196078
41960	17	11	2014	8.88	10.8823529411765
41961	18	11	2014	8.50882352941177	10.874
41962	19	11	2014	8.43888888888889	10.3884615384615
41963	20	11	2014	6.81315789473684	11.8814814814815
41964	21	11	2014	6.58571428571428	13.8647058823529
